*****Sonar Placement GA Expirement*****
Start Time: 2018-01-02 09:25:38.589383
Rand_seed:16
End Time: 2018-01-03 01:07:37.812009
Running Time: 15:41:57.325240
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
2, 31, 10.5718224219, 8, 0.17, 0.124, 44, 0.16, -0.128, -71, 0.004, -0.143, -51, 0.074, -0.123, 40, 0.17, -0.124, -44, 0.16, 0.128, 71, 0.004, 0.143, 51, 0.074, 0.123, -40,  , , ,  , , , 
2, 17, 11.8542404062, 6, 0.223, -0.103, -14, 0.208, -0.105, -19, 0.124, -0.101, -61, 0.223, 0.103, 14, 0.208, 0.106, 19, 0.124, 0.101, 61,  , , ,  , , ,  , , ,  , , , 
2, 10, 11.1053506921, 10, 0.225, 0.006, 2, 0.1, -0.126, -44, 0.234, 0.137, 69, 0.162, -0.113, -42, 0.209, 0.042, 6, 0.225, -0.006, -2, 0.1, 0.126, 44, 0.234, -0.136, -69, 0.162, 0.114, 42, 0.209, -0.042, -6, 
2, 17, 11.8542404062, 6, 0.223, -0.103, -14, 0.208, -0.105, -19, 0.124, -0.101, -61, 0.223, 0.103, 14, 0.208, 0.106, 19, 0.124, 0.101, 61,  , , ,  , , ,  , , ,  , , , 
2, 31, 10.5718224219, 8, 0.17, 0.124, 44, 0.16, -0.128, -71, 0.004, -0.143, -51, 0.074, -0.123, 40, 0.17, -0.124, -44, 0.16, 0.128, 71, 0.004, 0.143, 51, 0.074, 0.123, -40,  , , ,  , , , 
2, 24, 11.0654041316, 8, 0.211, -0.064, 7, 0.248, -0.143, -65, 0.247, 0.138, 37, 0.052, 0.147, 44, 0.211, 0.064, -7, 0.248, 0.143, 65, 0.247, -0.138, -37, 0.052, -0.147, -44,  , , ,  , , , 
2, 1, 15.8910930146, 4, 0.207, 0.05, 12, 0.248, 0.113, 10, 0.207, -0.05, -12, 0.248, -0.112, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 9, 15.3448209438, 6, 0.209, 0.034, -20, 0.211, -0.129, -2, 0.215, -0.076, 26, 0.209, -0.034, 20, 0.211, 0.129, 2, 0.215, 0.076, -26,  , , ,  , , ,  , , ,  , , , 
2, 14, 12.4548040681, 4, 0.036, -0.145, -44, 0.03, 0.134, 51, 0.036, 0.146, 44, 0.03, -0.134, -51,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 16, 8.76033186559, 6, 0.146, -0.122, -42, 0.217, -0.117, -42, 0.208, -0.147, -4, 0.146, 0.123, 42, 0.217, 0.118, 42, 0.208, 0.148, 4,  , , ,  , , ,  , , ,  , , , 
2, 27, 7.63964883927, 6, 0.118, 0.145, 80, 0.247, -0.046, 2, 0.237, -0.135, -33, 0.118, -0.145, -80, 0.247, 0.046, -2, 0.237, 0.135, 33,  , , ,  , , ,  , , ,  , , , 
2, 24, 11.0654041316, 8, 0.211, -0.064, 7, 0.248, -0.143, -65, 0.247, 0.138, 37, 0.052, 0.147, 44, 0.211, 0.064, -7, 0.248, 0.143, 65, 0.247, -0.138, -37, 0.052, -0.147, -44,  , , ,  , , , 
2, 34, 9.35124912995, 4, 0.209, 0.034, -20, 0.22, 0.024, 27, 0.209, -0.034, 20, 0.22, -0.024, -27,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 2, 9.29697201594, 10, 0.201, 0.123, 37, 0.211, -0.038, 15, 0.217, 0.121, 36, 0.215, -0.148, -98, 0.24, -0.124, -23, 0.201, -0.123, -37, 0.211, 0.038, -15, 0.217, -0.121, -36, 0.215, 0.148, 98, 0.24, 0.124, 23, 
2, 17, 11.8542404062, 6, 0.223, -0.103, -14, 0.208, -0.105, -19, 0.124, -0.101, -61, 0.223, 0.103, 14, 0.208, 0.106, 19, 0.124, 0.101, 61,  , , ,  , , ,  , , ,  , , , 
2, 4, 11.0405317187, 8, 0.17, 0.124, 44, 0.16, -0.128, -71, 0.004, -0.143, -51, 0.074, -0.123, -73, 0.17, -0.124, -44, 0.16, 0.128, 71, 0.004, 0.143, 51, 0.074, 0.123, 73,  , , ,  , , , 
2, 34, 9.35124912995, 4, 0.209, 0.034, -20, 0.22, 0.024, 27, 0.209, -0.034, 20, 0.22, -0.024, -27,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
3, 47, 13.0330515166, 4, 0.223, -0.103, -14, 0.22, 0.024, 27, 0.223, 0.103, 14, 0.22, -0.024, -27,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
3, 54, 7.79687071465, 8, 0.225, 0.006, 2, 0.1, -0.126, -44, 0.234, 0.137, 69, 0.074, -0.123, 40, 0.225, -0.006, -2, 0.1, 0.126, 44, 0.234, -0.136, -69, 0.074, 0.123, -40,  , , ,  , , , 
3, 10, 11.1053506921, 10, 0.225, 0.006, 2, 0.1, -0.126, -44, 0.234, 0.137, 69, 0.162, -0.113, -42, 0.209, 0.042, 6, 0.225, -0.006, -2, 0.1, 0.126, 44, 0.234, -0.136, -69, 0.162, 0.114, 42, 0.209, -0.042, -6, 
3, 34, 9.35124912995, 4, 0.209, 0.034, -20, 0.22, 0.024, 27, 0.209, -0.034, 20, 0.22, -0.024, -27,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
3, 31, 10.5718224219, 8, 0.17, 0.124, 44, 0.16, -0.128, -71, 0.004, -0.143, -51, 0.074, -0.123, 40, 0.17, -0.124, -44, 0.16, 0.128, 71, 0.004, 0.143, 51, 0.074, 0.123, -40,  , , ,  , , , 
3, 14, 12.4548040681, 4, 0.036, -0.145, -44, 0.03, 0.134, 51, 0.036, 0.146, 44, 0.03, -0.134, -51,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
3, 10, 11.1053506921, 10, 0.225, 0.006, 2, 0.1, -0.126, -44, 0.234, 0.137, 69, 0.162, -0.113, -42, 0.209, 0.042, 6, 0.225, -0.006, -2, 0.1, 0.126, 44, 0.234, -0.136, -69, 0.162, 0.114, 42, 0.209, -0.042, -6, 
3, 1, 15.8910930146, 4, 0.207, 0.05, 12, 0.248, 0.113, 10, 0.207, -0.05, -12, 0.248, -0.112, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
3, 17, 11.8542404062, 6, 0.223, -0.103, -14, 0.208, -0.105, -19, 0.124, -0.101, -61, 0.223, 0.103, 14, 0.208, 0.106, 19, 0.124, 0.101, 61,  , , ,  , , ,  , , ,  , , , 
