*****Sonar Placement GA Expirement*****
Start Time: 2017-10-17 21:43:03.559460
Rand_seed:8
End Time: 2017-10-19 00:48:15.129278
Running Time: 1 day, 3:04:25.003587
Population size:40
Generation Count:60
Mutation Probability:0.2
Cross Over Probability:0.35
***** Constraints *****
Max Number of Sensors: 1
X Position: [0, 0.25]
Y Position: [-0.15, 0.15]
Z Orient: [-90, 90]
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, 
8, 328, 13.6282919896, 1, 0.22, 0.109, -26.0, 
8, 329, 14.628573199, 1, 0.005, -0.064, -26.0, 
8, 330, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 331, 14.3639095342, 1, 0.102, 0.121, -22.0, 
8, 332, 11.675003925, 1, 0.22, -0.064, -45.0, 
8, 333, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 334, 14.5843495236, 1, 0.22, 0.021, -26.0, 
8, 335, 12.4514779357, 1, 0.22, -0.002, -26.0, 
8, 336, 12.3886928036, 1, 0.038, -0.064, -26.0, 
8, 337, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 338, 13.8355932496, 1, 0.102, 0.121, -27.0, 
8, 339, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 340, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 341, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 342, 13.317010658, 1, 0.128, -0.064, -26.0, 
8, 343, 12.7333555262, 1, 0.22, -0.104, -26.0, 
8, 344, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 345, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 346, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 347, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 348, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 349, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 350, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 351, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 329, 9.55120332849, 1, 0.005, -0.064, -50.0, 
9, 352, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 353, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 354, 13.317010658, 1, 0.128, -0.064, -26.0, 
9, 355, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 356, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 357, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 358, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 359, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 360, 9.41856094592, 1, 0.037, -0.064, -26.0, 
9, 361, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 362, 13.8355932496, 1, 0.102, 0.121, -27.0, 
9, 363, 7.06864916201, 1, 0.22, 0.109, -88.0, 
9, 364, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 365, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 366, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 367, 13.317010658, 1, 0.128, -0.064, -26.0, 
9, 368, 14.6572479966, 1, 0.134, -0.064, -26.0, 
9, 369, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 370, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 371, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 372, 12.6468508499, 1, 0.22, -0.064, -26.0, 
9, 373, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 374, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 375, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 376, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 377, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 378, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 379, 14.6689959202, 1, 0.016, -0.064, -26.0, 
9, 380, 14.8940097837, 1, 0.102, 0.018, -27.0, 
9, 381, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 382, 11.1511220921, 1, 0.22, -0.064, -55.0, 
9, 383, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 384, 14.9376680525, 1, 0.22, -0.064, -26.0, 
9, 385, 14.6768904133, 1, 0.08, 0.121, -22.0, 
9, 386, 12.6238979767, 1, 0.22, -0.064, -26.0, 
